district,revenue,division
千代田区,50795845,0
中　央　区,26653285,0
港　　　区,31726443,0
新　宿　区,3884099,0
文　京　区,2103322,0
台　東　区,3933375,0
墨　田　区,2540775,0
江　東　区,2832105,0
品　川　区,8233228,0
目　黒　区,786437,0
大　田　区,5152643,0
世田谷区,593786,0
渋　谷　区,3659823,0
中　野　区,515707,0
杉　並　区,629988,0
豊　島　区,1071212,0
北　　　区,669027,0
荒　川　区,389453,0
板　橋　区,709208,0
練　馬　区,459549,0
足　立　区,779228,0
葛　飾　区,330222,0
江戸川区,512542,0
境界未定地域,16157,0
八王子市,663881,0
立　川　市,410667,0
武蔵野市,60925,0
三　鷹　市,90033,0
青　梅　市,165581,0
府　中　市,270283,0
昭　島　市,129024,0
調　布　市,132869,0
町　田　市,143776,0
小金井市,26861,0
小　平　市,88245,0
日　野　市,74529,0
東村山市,56240,0
国分寺市,29433,0
国　立　市,137056,0
福　生　市,23557,0
狛　江　市,28463,0
東大和市,35299,0
清　瀬　市,7838,0
東久留米市,66258,0
武蔵村山市,41354,0
多　摩　市,142167,0
稲　城　市,11316,0
羽　村　市,48070,0
あきる野市,10378,0
西東京市,64108,0
千代田区,908058,1
中　央　区,1503894,1
港　　　区,845709,1
新　宿　区,1321570,1
文　京　区,124482,1
台　東　区,403400,1
墨　田　区,254501,1
江　東　区,530531,1
品　川　区,430631,1
目　黒　区,231328,1
大　田　区,583100,1
世田谷区,584424,1
渋　谷　区,1113584,1
中　野　区,229245,1
杉　並　区,315444,1
豊　島　区,785075,1
北　　　区,177378,1
荒　川　区,106207,1
板　橋　区,341037,1
練　馬　区,422614,1
足　立　区,504967,1
葛　飾　区,274898,1
江戸川区,411579,1
境界未定地域,26592,1
八王子市,488342,1
立　川　市,238092,1
武蔵野市,232429,1
三　鷹　市,98984,1
青　梅　市,98144,1
府　中　市,187652,1
昭　島　市,115722,1
調　布　市,211353,1
町　田　市,430117,1
小金井市,61785,1
小　平　市,108517,1
日　野　市,81527,1
東村山市,79315,1
国分寺市,85744,1
国　立　市,51779,1
福　生　市,42599,1
狛　江　市,36711,1
東大和市,67224,1
清　瀬　市,35047,1
東久留米市,90341,1
武蔵村山市,73226,1
多　摩　市,148041,1
稲　城　市,52410,1
羽　村　市,42000,1
あきる野市,51627,1
西東京市,113299,1
