year,screen,num_jp,num_gl,num_sum,user,pay,per_pay,share_jp,share_gl
1955 ,5184 ,423 ,193 ,616 ,868912 ,54657 ,63 ,66 ,34 
1956 ,6123 ,514 ,177 ,691 ,993875 ,61899 ,62 ,68 ,33 
1957 ,6865 ,443 ,194 ,637 ,1098882 ,68153 ,62 ,69 ,31 
1958 ,7067 ,504 ,169 ,673 ,1127452 ,72346 ,64 ,76 ,24 
1959 ,7400 ,493 ,210 ,703 ,1088111 ,71141 ,65 ,77 ,23 
1960 ,7457 ,547 ,216 ,763 ,1014364 ,72798 ,72 ,78 ,22 
1961 ,7231 ,535 ,229 ,764 ,863430 ,73003 ,85 ,77 ,23 
1962 ,6742 ,375 ,228 ,603 ,662279 ,75983 ,115 ,73 ,27 
1963 ,5696 ,357 ,267 ,624 ,511121 ,77734 ,152 ,69 ,31 
1964 ,4927 ,344 ,259 ,603 ,431454 ,76937 ,178 ,66 ,34 
1965 ,4649 ,487 ,264 ,751 ,372676 ,75506 ,203 ,67 ,33 
1966 ,4296 ,442 ,250 ,692 ,345811 ,75750 ,219 ,63 ,37 
1967 ,4119 ,410 ,239 ,649 ,335067 ,78943 ,236 ,61 ,39 
1968 ,3814 ,494 ,249 ,743 ,313398 ,82026 ,262 ,64 ,36 
1969 ,3602 ,494 ,253 ,747 ,283980 ,83805 ,295 ,64 ,36 
1970 ,3246 ,423 ,236 ,659 ,254799 ,82488 ,324 ,59 ,41 
1971 ,2974 ,421 ,243 ,664 ,216754 ,79280 ,366 ,51 ,49 
1972 ,2673 ,400 ,283 ,683 ,187391 ,76971 ,411 ,52 ,48 
1973 ,2530 ,405 ,252 ,657 ,185324 ,92682 ,500 ,56 ,44 
1974 ,2468 ,344 ,241 ,585 ,185738 ,117107 ,631 ,51 ,49 
1975 ,2443 ,333 ,225 ,558 ,174020 ,130750 ,751 ,44 ,56 
1976 ,2453 ,356 ,245 ,601 ,171020 ,145709 ,852 ,49 ,52 
1977 ,2420 ,337 ,221 ,558 ,165172 ,152373 ,923 ,51 ,49 
1978 ,2392 ,326 ,179 ,505 ,166042 ,160509 ,967 ,49 ,51 
1979 ,2374 ,331 ,196 ,527 ,165088 ,158177 ,958 ,54 ,47 
1980 ,2364 ,320 ,209 ,529 ,164422 ,165918 ,1009 ,55 ,45 
1981 ,2298 ,332 ,223 ,555 ,149450 ,163259 ,1093 ,55 ,46 
1982 ,2267 ,322 ,198 ,520 ,155280 ,169522 ,1092 ,51 ,49 
1983 ,2239 ,317 ,181 ,498 ,170430 ,186300 ,1093 ,53 ,47 
1984 ,2191 ,333 ,232 ,565 ,150527 ,172202 ,1144 ,49 ,51 
1985 ,2137 ,319 ,264 ,583 ,155130 ,173438 ,1118 ,51 ,49 
1986 ,2109 ,311 ,289 ,600 ,160758 ,179428 ,1116 ,50 ,50 
1987 ,2053 ,286 ,351 ,637 ,143935 ,161155 ,1120 ,48 ,52 
1988 ,2005 ,265 ,485 ,750 ,144825 ,161921 ,1118 ,50 ,50 
1989 ,1912 ,255 ,522 ,777 ,143573 ,166681 ,1161 ,47 ,53 
1990 ,1836 ,239 ,465 ,704 ,146000 ,171910 ,1177 ,41 ,59 
1991 ,1804 ,230 ,467 ,697 ,138330 ,163378 ,1181 ,42 ,58 
1992 ,1744 ,240 ,377 ,617 ,125600 ,152000 ,1210 ,45 ,55 
1993 ,1734 ,238 ,352 ,590 ,130720 ,163700 ,1252 ,36 ,64 
1994 ,1758 ,251 ,302 ,553 ,122990 ,153590 ,1249 ,40 ,60 
1995 ,1776 ,289 ,321 ,610 ,127040 ,157865 ,1243 ,37 ,63 
1996 ,1828 ,278 ,320 ,598 ,119575 ,148870 ,1245 ,36 ,64 
1997 ,1884 ,278 ,333 ,611 ,140719 ,177197 ,1259 ,42 ,59 
1998 ,1993 ,249 ,306 ,555 ,153102 ,193499 ,1264 ,30 ,70 
1999 ,2221 ,270 ,298 ,568 ,144762 ,182835 ,1263 ,32 ,68 
2000 ,2524 ,282 ,362 ,644 ,135390 ,170862 ,1262 ,32 ,68 
2001 ,2585 ,281 ,349 ,630 ,163280 ,200154 ,1226 ,39 ,61 
2002 ,2635 ,293 ,347 ,640 ,160767 ,196780 ,1224 ,27 ,73 
2003 ,2681 ,287 ,335 ,622 ,162347 ,203259 ,1252 ,33 ,67 
2004 ,2825 ,310 ,339 ,649 ,170092 ,210914 ,1240 ,38 ,63 
2005 ,2926 ,356 ,375 ,731 ,160453 ,198160 ,1235 ,41 ,59 
2006 ,3062 ,417 ,404 ,821 ,164585 ,202934 ,1233 ,53 ,47 
2007 ,3221 ,407 ,403 ,810 ,163193 ,198443 ,1216 ,48 ,52 
2008 ,3359 ,418 ,388 ,806 ,160491 ,194836 ,1214 ,60 ,41 
2009 ,3396 ,448 ,314 ,762 ,169297 ,206035 ,1217 ,57 ,43 
2010 ,3412 ,408 ,308 ,716 ,174358 ,220737 ,1266 ,54 ,46 
2011 ,3339 ,441 ,358 ,799 ,144726 ,181197 ,1252 ,55 ,45 
2012 ,3290 ,554 ,429 ,983 ,155159 ,195190 ,1258 ,66 ,34 
2013 ,3318 ,591 ,526 ,1117 ,155888 ,194237 ,1246 ,61 ,39 
2014 ,3364 ,615 ,569 ,1184 ,161116 ,207034 ,1285 ,58 ,42 
2015 ,3437 ,581 ,555 ,1136 ,166630 ,217119 ,1303 ,55 ,45 
